rid,suburbname,postcode,state,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,Shape__Length,Shape__Area,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
5185,CAMELLIA,2142,2,20160614131446,30000101000000,20160614132036.314000,2380,,adaf80d2-b6c8-3bbe-ac70-56f52611e5bf,M,,U,7774.533879709215,1077163.3120261258,108031914,19950728000000,20160614131412,,,,,,
5187,CARLTON,2218,2,20160614113350,30000101000000,20160614121912.752000,2405,,dc8add7a-5a26-3fc4-9456-adb5f1915d9b,M,,U,12863.064523848498,3000728.6552323443,108031939,19950728000000,20160614113321,,,,,,
5192,BEVERLEY PARK,2217,2,20160614113350,30000101000000,20160614121912.848000,3563,,dc094be4-84c4-34dc-931f-5d0e61c4dd40,M,,U,6017.543046590629,1424665.193233182,108033097,19950728000000,20160614113321,,,,,,
5415,RUSHCUTTERS BAY,2011,2,20160713110820,30000101000000,20160713110837.881000,73,,3198388c-4dbe-3173-9af4-f4b23a916ae8,M,,U,2482.013894967331,222823.22223896644,108029607,19950728000000,20160713110754,,,,,,
5417,DARLINGHURST,2010,2,20160713110820,30000101000000,20160713110837.933000,2421,,334fdc60-b6fd-3c6c-8c68-3b4207c81da6,M,,U,5891.9174574661665,1259473.8976629348,108031955,19950728000000,20160713110754,,,,,,
5431,WOOLLAHRA,2025,2,20160714132052,30000101000000,20160714132122.023000,3582,,913a8bb0-6ca5-306d-bc2c-17bd02c6fa0e,M,,U,8386.542755592096,1833662.4665892748,108033116,19950728000000,20160714132027,,,,,,
5575,LALOR PARK,2147,2,20160803104523,30000101000000,20160803104532.287000,2465,,3ff98243-1c55-3e24-9b97-e0b598690811,M,,U,9673.387532690478,3861238.982684541,108031999,19950728000000,20160803104508,,,,,,
5713,ROCKDALE,2216,2,20160818132706,30000101000000,20160818132732.997000,1253,,c0140939-d47b-3d70-80d8-e34327601b1f,M,,U,13457.568536885174,3473909.040527011,108030787,19950728000000,20160818132634,,,,,,
5717,HURSTVILLE GROVE,2220,2,20160819093355,30000101000000,20160819093410.303000,3564,,76852fff-7a9b-35f9-92c6-b261e4b4cf36,M,,U,6107.487514260123,1469359.2116771925,108033098,19950728000000,20160819093335,,,,,,
5844,CABARITA,2137,2,20160902120336,30000101000000,20160902120408.287000,3521,,3aca61ea-078b-313d-892f-b1ca97ecc7ca,M,,U,6253.040863011956,751802.9966160944,108033055,19950728000000,20160902120247,,,,,,
5928,CARTWRIGHT,2168,2,20160909152614,30000101000000,20160909153224.684000,3611,,8a11ddd8-c869-3e5f-84f9-7090c8410dc2,M,,U,8456.839636745879,1431812.1330083543,108033145,19950728000000,20160909151913,,,,,,
